case_id,state,district,land_type,acquisition_stage,case_age_days,days_in_stage,number_of_landowners,litigation_present,number_of_objections,compensation_delay_days,previous_stage_delay_days,historical_delay_rate,land_area_hectares,final_additional_delay_days
LA00001,Rajasthan,Udaipur,Residential,Possession,269,75,60,1,15,15,23,0.36,2.82,232
LA00002,Madhya Pradesh,Bhopal,Agricultural,Objection,244,135,34,0,11,6,78,0.02,16.01,221
LA00003,Uttar Pradesh,Agra,Industrial,Possession,64,20,3,0,3,1,13,0.156,2.27,71
LA00004,Maharashtra,Nashik,Agricultural,Compensation,85,85,54,0,8,52,46,0.328,3.34,253
LA00005,Maharashtra,Aurangabad,Agricultural,Notification,310,95,58,0,16,21,52,0.374,24.43,224
LA00006,Punjab,Ludhiana,Agricultural,Possession,298,110,17,0,5,7,64,0.205,2.2,150
LA00007,Rajasthan,Jodhpur,Agricultural,Compensation,291,38,25,0,4,118,56,0.191,5.8,185
LA00008,Madhya Pradesh,Bhopal,Agricultural,Notification,103,98,2,0,1,20,79,0.068,78.36,89
LA00009,Gujarat,Rajkot,Agricultural,Notification,270,5,49,0,6,29,53,0.246,20.61,144
LA00010,Rajasthan,Kota,Residential,Compensation,58,58,47,0,7,67,68,0.222,3.54,223
LA00011,Uttar Pradesh,Agra,Agricultural,Notification,97,97,2,0,3,17,25,0.061,4.2,121
LA00012,Punjab,Amritsar,Agricultural,Objection,264,84,43,0,6,25,33,0.098,6.23,179
LA00013,Madhya Pradesh,Bhopal,Industrial,Notification,320,152,25,1,11,2,59,0.192,27.44,219
LA00014,Madhya Pradesh,Jabalpur,Agricultural,Objection,338,147,33,0,4,30,70,0.19,2.71,199
LA00015,Madhya Pradesh,Gwalior,Residential,Objection,492,25,14,1,7,14,0,0.064,2.55,116
LA00016,Madhya Pradesh,Indore,Agricultural,Compensation,432,14,49,1,9,114,35,0.209,15.08,239
LA00017,Uttar Pradesh,Agra,Agricultural,Objection,208,49,25,0,5,19,64,0.151,1.38,173
LA00018,Rajasthan,Kota,Agricultural,Notification,398,5,51,0,6,28,9,0.26,2.97,168
LA00019,Punjab,Patiala,Agricultural,Compensation,75,75,9,0,1,25,28,0.088,6.79,107
LA00020,Maharashtra,Nashik,Residential,Objection,433,97,36,0,10,24,44,0.036,7.14,184
LA00021,Uttar Pradesh,Agra,Agricultural,Compensation,212,99,19,0,2,19,6,0.275,1.89,173
LA00022,Maharashtra,Nagpur,Agricultural,Notification,387,17,58,1,3,4,74,0.274,10.52,149
LA00023,Gujarat,Vadodara,Agricultural,Notification,487,166,34,1,6,5,29,0.246,12.86,207
LA00024,Punjab,Patiala,Industrial,Objection,361,176,44,0,8,25,63,0.149,3.81,253
LA00025,Madhya Pradesh,Bhopal,Commercial,Compensation,463,108,6,0,1,3,34,0.207,38.89,126
LA00026,Uttar Pradesh,Agra,Industrial,Objection,34,5,41,0,11,14,32,0.279,10.38,184
LA00027,Maharashtra,Nagpur,Residential,Possession,110,74,7,0,2,12,78,0.071,2.71,123
LA00028,Madhya Pradesh,Jabalpur,Residential,Objection,324,131,22,0,3,21,69,0.12,37.37,150
LA00029,Uttar Pradesh,Kanpur,Agricultural,Compensation,284,136,14,0,3,24,41,0.149,4.38,179
LA00030,Maharashtra,Nashik,Industrial,Compensation,86,47,1,0,1,85,37,0.02,8.84,128
LA00031,Maharashtra,Nagpur,Agricultural,Notification,368,149,36,0,4,15,63,0.244,4.54,187
LA00032,Gujarat,Ahmedabad,Agricultural,Compensation,57,57,15,1,2,55,55,0.193,13.79,173
LA00033,Rajasthan,Jaipur,Residential,Objection,496,94,31,0,4,5,79,0.238,4.57,195
LA00034,Uttar Pradesh,Kanpur,Agricultural,Objection,103,72,46,1,8,23,26,0.396,4.85,267
LA00035,Punjab,Bathinda,Agricultural,Notification,239,97,11,0,1,22,9,0.073,6.3,105
LA00036,Rajasthan,Udaipur,Agricultural,Compensation,417,9,43,0,7,14,15,0.08,4.47,180
LA00037,Punjab,Patiala,Agricultural,Possession,272,97,18,1,6,15,42,0.235,21.58,169
LA00038,Madhya Pradesh,Bhopal,Commercial,Notification,380,9,20,0,4,9,25,0.042,2.1,130
LA00039,Gujarat,Rajkot,Agricultural,Compensation,361,11,35,0,5,90,65,0.219,7.12,171
LA00040,Uttar Pradesh,Agra,Commercial,Compensation,476,102,38,0,7,43,70,0.206,8.08,203
LA00041,Rajasthan,Jodhpur,Agricultural,Objection,248,94,40,0,5,6,15,0.183,6.52,177
LA00042,Madhya Pradesh,Jabalpur,Commercial,Compensation,491,178,12,0,2,2,80,0.022,19.46,190
LA00043,Madhya Pradesh,Gwalior,Agricultural,Compensation,273,94,35,0,5,26,51,0.307,1.64,159
LA00044,Maharashtra,Nagpur,Industrial,Possession,450,177,16,0,3,23,21,0.106,13.04,160
LA00045,Rajasthan,Jodhpur,Agricultural,Possession,375,147,17,0,2,13,16,0.332,2.13,148
LA00046,Punjab,Bathinda,Agricultural,Notification,92,64,57,0,5,26,13,0.292,4.44,206
LA00047,Maharashtra,Nashik,Agricultural,Objection,333,168,7,0,2,5,38,0.137,1.92,144
LA00048,Punjab,Patiala,Agricultural,Compensation,443,89,25,0,4,72,5,0.179,5.3,145
